DR_NO,Date Rptd,AREA NAME,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Race,Premis Desc,Weapon Desc,LAT,LON
210709244,5/20/2021,Wilshire,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",31,F,W,White,OTHER BUSINESS,,34.0838,-118.3621
211315485,9/7/2021,Newton,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",24,M,H,Hispanic,STREET,UNKNOWN WEAPON/OTHER WEAPON,33.9922,-118.2521
211510670,6/18/2021,N Hollywood,903,CONTEMPT OF COURT,27,F,H,Hispanic,SINGLE FAMILY DWELLING,,34.1794,-118.397
200307030,2/19/2020,Southwest,354,THEFT OF IDENTITY,73,F,B,Black,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,34.0099,-118.3446
160305992,2/1/2016,Southwest,354,THEFT OF IDENTITY,71,M,B,Black,SINGLE FAMILY DWELLING,,34.0251,-118.3201
200308138,3/7/2020,Southwest,624,BATTERY - SIMPLE ASSAULT,29,F,H,Hispanic,OTHER BUSINESS,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0256,-118.3351
200405993,2/20/2020,Hollenbeck,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",38,M,H,Hispanic,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)",,34.0253,-118.2224
151816258,8/24/2015,Southeast,806,PANDERING,14,F,B,Black,STREET,VERBAL THREAT,33.9419,-118.2781
200307955,3/5/2020,Southwest,520,VEHICLE - ATTEMPT STOLEN,50,M,H,Hispanic,SINGLE FAMILY DWELLING,,34.0072,-118.3023
211818596,10/16/2021,Southeast,624,BATTERY - SIMPLE ASSAULT,54,F,H,Hispanic,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",33.9511,-118.2565
